HfGRNUOqhLk	54161223	54241506	54412889	54412889	54485545	54579362	54717594	54782683	55295583	55295583	55692296	55992318	56367041	56508174	56508174	56745918	56745918	56950422
Kk5naOEL3gQ	314990743	315180738	315326156	315531383	315703979	315850488	315970033	316080656	316175446	316288493	316408003	316498449	316589840	316660781	316732880	316831689	316923746	317034184
MF_EPWq89mo	37445493	37812316	38515528	38515528	38822977	39321382	39977307	40277247	40562274	40562274	40735594	41045400	41551972	41551972	41798777	42337259	42337259	42903270
4bKuBuPB_QA	178723500	178771460	178839618	178885362	178920675	178959581	179043084	179155032	179155032	179242639	179300751	179357292	179464968	179464968	179517891	179691640	179691640	179819618
eYOIhHu2gho	176044713	175960985	175014417	175382472	173942683	173107575	173054790	171178015	171178015	171466221	170810444	169978885	169068191	167818700	167818700	167484611	167484611	166111258
0NDPSeDiYBI	355832623	355955102	356064328	356159608	356244231	356384008	356519076	356646748	356782760	356934451	357055927	357324991	357668584	357668584	357836643	358266152	358266152	358551051
Rv_QcHj5Vxs	2885897702	2887727713	2891772712	2891772712	2893226226	2895497543	2897659038	2902048642	2902048642	2903972023	2905804811	2907420375	2910769617	2910769617	2912564438	2916727919	2916727919	2920327618
84GjVhVAULU	53711439	53972788	54384089	54384089	54618604	54878601	55042568	55158916	55253121	55328177	55389173	55613518	56053865	56053865	56228232	56592727	56592727	56840520
YxvjzpH9vPs	20617489	20708136	20939311	20939311	21018564	21095689	21199608	21247236	21327461	21327461	21466184	21558652	21705159	21705159	21776891	21988855	21988855	22190143
4m8xhQ75gvM	100289962	100456061	100622959	100772654	100896685	101014950	101134303	101257590	101391395	101521137	101637481	101737498	101826648	101915753	102002804	102196842	102196842	102322693
y6Pxg27GX9Y	367158301	367424335	367716796	367974800	368199873	368635931	369023789	369478849	369936269	370348565	370815735	371212030	372139622	372139622	372617795	373584908	373584908	374466140
X84S0j4GPyU	5591465927	5596299485	5610380167	5610380167	5618698641	5627273418	5640032017	5646877918	5652277972	5657837999	5666322672	5676005584	5691422791	5691422791	5697852847	5706630568	5706630568	5714425744
VXYMOITklKQ	225491102	226021190	227200386	227200386	227631074	228193869	228818781	229049087	229234570	229234570	229402787	229686429	230131054	230313851	230313851	230616827	230616827	230952060
WRyCD2AyqP4	3697692867	3699674048	3705204242	3705204242	3707824601	3711583394	3715950242	3717820771	3719851570	3719851570	3722189239	3725001246	3728913868	3728913868	3730914160	3735003549	3735003549	3740078704
CzwpjioJIUo	502213415	502372441	502519711	502650815	502753893	502913503	503786848	504130306	504473753	504733439	504909306	505056764	505302301	505302301	505464444	505774806	505774806	506169086
y2_2IxRCxvM	6335311407	6337954197	6343859619	6343859619	6346359909	6349928530	6352777757	6357573311	6359726833	6359726833	6361913301	6364269263	6368282621	6368282621	6370829873	6375050928	6375050928	6379236624
koOuhXmdBdI	1037481075	1038998941	1040958076	1040958076	1041594342	1042636300	1044246287	1045754279	1046340781	1046340781	1047892323	1049118825	1050750996	1050750996	1051360421	1052422115	1052422115	1053326542
U487ngbPKKk	14230291	14295924	14360990	14425252	14477374	14548970	14607835	14660550	14715632	14770430	14827981	14883941	14933632	14986716	15037417	15135848	15135848	15184949
-h0hGTDzdKs	16484678	16502150	16523241	16523241	16529747	16556206	16706171	16788383	16820567	16820567	16854696	16881853	16962277	16962277	17023966	17194549	17194549	17251428
zST4EESh2aE	3048197055	3049522153	3052307168	3052307168	3053385268	3054776092	3058168090	3061977874	3063709839	3063709839	3065410878	3067056363	3070833264	3070833264	3072981359	3076488208	3076488208	3079590955
IR-h0BcCV_o	8486280	8502670	8540051	8600208	8710744	8774634	8797776	8812016	8823751	8838359	8864434	8892608	8905813	8917381	8927666	8940798	8956004	8989238
H-HNDhfryXQ	426871798	428266496	432180096	432180096	434585758	437440320	441178680	448567304	452251152	452251152	455241905	459396829	465954332	465954332	468768541	474547350	474547350	479145808
O1hXeuoDONo	5164727309	5169086065	5177668437	5177668437	5181212980	5185576899	5194001237	5197715462	5200523530	5200523530	5203629830	5207274223	5213359916	5213359916	5216487892	5222613928	5222613928	5229616468
pqVX4QN1Nsg	3852575268	3855304971	3861062939	3861062939	3864819373	3867650694	3870396333	3874661307	3876879545	3876879545	3878726124	3880632746	3887457074	3887457074	3889415211	3894190246	3894190246	3898846461
