HfGRNUOqhLk	54161223	54241506	54412889	54412889
Kk5naOEL3gQ	314990743	315180738	315326156	315531383
MF_EPWq89mo	37445493	37812316	38515528	38515528
4bKuBuPB_QA	178723500	178771460	178839618	178885362
eYOIhHu2gho	176044713	175960985	175014417	175382472
0NDPSeDiYBI	355832623	355955102	356064328	356159608
Rv_QcHj5Vxs	2885897702	2887727713	2891772712	2891772712
84GjVhVAULU	53711439	53972788	54384089	54384089
YxvjzpH9vPs	20617489	20708136	20939311	20939311
4m8xhQ75gvM	100289962	100456061	100622959	100772654
y6Pxg27GX9Y	367158301	367424335	367716796	367974800
X84S0j4GPyU	5591465927	5596299485	5610380167	5610380167
VXYMOITklKQ	225491102	226021190	227200386	227200386
WRyCD2AyqP4	3697692867	3699674048	3705204242	3705204242
CzwpjioJIUo	502213415	502372441	502519711	502650815
y2_2IxRCxvM	6335311407	6337954197	6343859619	6343859619
koOuhXmdBdI	1037481075	1038998941	1040958076	1040958076
U487ngbPKKk	14230291	14295924	14360990	14425252
-h0hGTDzdKs	16484678	16502150	16523241	16523241
zST4EESh2aE	3048197055	3049522153	3052307168	3052307168
IR-h0BcCV_o	8486280	8502670	8540051	8600208
H-HNDhfryXQ	426871798	428266496	432180096	432180096
O1hXeuoDONo	5164727309	5169086065	5177668437	5177668437
pqVX4QN1Nsg	3852575268	3855304971	3861062939	3861062939
S2wvYiCxpdU	33072041	33108709	33269351	33269351
lyfISRoBPZQ	7174792819	7176702758	7180310127	7180310127
EN3Xm1w-oGg	29702314	29868061	30112867	30112867
C910ulZVXjY	546047258	546523453	547848338	547848338
bGMlQRpzeLo	541383644	550578132	572205118	572205118
CDDzP-tW6XQ	3553879	3564251	3585271	3585271
0CtA4eHKcS8	54747911	56851481	59434668	62168209
HJUMWJgYvPs	59598794	61411934	65158357	65158357
xNLL2OENNdk	155491370	155631952	155873372	155873372
KnFfCJKRitM	155078652	155267704	155619522	155619522
dEB-TuFjVzE	312468741	313721250	309977501	311714148
8eTCqqd4qkw	6325292594	6327539797	6334119437	6334119437
cQwqzHgIIl0	705071076	706970410	712428100	712428100
Y111jltWqoo	1606950297	1608550600	1612270811	1612270811
d7jD-gOcwx8	86108460	86170733	86297093	86297093
Jw6xsgQuv4U	20654171	20704318	20783592	20783592
lW_CN08A3jM	191552402	191754300	191979856	192201027
sy_NRNgJ8zY	106251816	106356261	106484780	106484780
L2VTYeS9rlw	84168372	84289599	84453553	84453553
7ha13cIHibA	661820841	662113288	662977095	662977095
w9F9axqZTnQ	610753072	611870459	620660380	620660380
4luZQmTgfc0	14300635	14313343	14337201	14337201
_TSlROwQa10	11624848	14638761	20796806	20796806
PSrIh_fu804	144048068	144185255	144302158	144440550
dNaiIOCKK3c	119987820	120072370	120370140	120370140
6VH032e4CaQ	878205241	878449350	878907816	878907816
apSPz24XXXM	747832908	748937651	751353696	751353696
VZTetCZGWuI	85106895	85266840	85600318	85600318
0bcPhHJfbC0	501284665	503368269	509642140	509642140
0kL6Nins8kw	75415081	75739177	76926102	76926102
TAujO9tcu2Y	173132303	174488345	176771798	176771798
YyFMM8EhKUc	1244975114	1245436580	1246378997	1246378997
Cm3233wSAGA	59062019	59120555	59148112	59169380
VFKrzbRm-qA	301785299	301831602	302077704	302077704
GzALNQvsejs	342798079	343120862	343777759	343777759
_LpkDmpSKGQ	164539012	164855205	165915510	165915510
XrRM4LGbYGU	223598396	223734397	224192008	224192008
Vk1ohbgV_wk	257479536	257600204	257899923	257899923
BKG7F0doeRw	194272361	194427668	194606492	194794684
qfMH7GGYeFQ	425827010	426205062	427105154	427105154
K-0z8551g7k	262526544	262637644	262869321	262869321
lQXvS6OLA6w	815580	824640	851095	851095
4Skc3YjeTFU	924517846	925372264	926575843	926575843
RaXNJ7S860U	1448605900	1449921634	1451550387	1452933109
5wl3sF31g8c	488048225	488576437	489819146	489819146
ZRNdEIdL0Xk	180350323	180586226	181223478	181223478
6_J2IvIeyaM	112506799	112745314	113549473	113549473
WUgaaLeLPfM	59571085	62248197	68375290	68375290
hWWw-06ebkY	518551854	518926295	519857063	519857063
iVyPhKlthgk	151890592	152420129	154056535	154056535
6qbZEcNtuKA	233928304	234099359	234578942	234578942
kGQeFzjpMHc	1374469906	1375492796	1378709865	1378709865
Im4yFXNCyy8	224973114	235867634	258888942	258888942
CTCQvQeKsMg	106321250	106364880	106486061	106486061
rmDwpCASLHE	2333133347	2334651887	2336448965	2338075292
Vqs0jkoIH4U	68255040	68290482	68375825	68375825
ocNWBEbEpCk	130933640	131046238	131145891	131226669
kycUJ_Dzebs	6540323343	6546774161	6555249406	6563350202
GUA6qFql8EI	917422	956388	995182	1036120
