HfGRNUOqhLk	54161223	54241506	54412889	54412889	54485545	54579362	54717594	54782683	55295583	55295583	55692296	55992318	56367041	56508174	56508174	56745918	56745918	56950422	56950422	57042946	57134089	57221995
Kk5naOEL3gQ	314990743	315180738	315326156	315531383	315703979	315850488	315970033	316080656	316175446	316288493	316408003	316498449	316589840	316660781	316732880	316831689	316923746	317034184	317034184	317034184	317287771	317310579
MF_EPWq89mo	37445493	37812316	38515528	38515528	38822977	39321382	39977307	40277247	40562274	40562274	40735594	41045400	41551972	41551972	41798777	42337259	42337259	42903270	42903270	43152485	43376685	43717047
4bKuBuPB_QA	178723500	178771460	178839618	178885362	178920675	178959581	179043084	179155032	179155032	179242639	179300751	179357292	179464968	179464968	179517891	179691640	179691640	179819618	179819618	179855232	179931672	179986952
eYOIhHu2gho	176044713	175960985	175014417	175382472	173942683	173107575	173054790	171178015	171178015	171466221	170810444	169978885	169068191	167818700	167818700	167484611	167484611	166111258	166111258	165673338	165685216	165503042
0NDPSeDiYBI	355832623	355955102	356064328	356159608	356244231	356384008	356519076	356646748	356782760	356934451	357055927	357324991	357668584	357668584	357836643	358266152	358266152	358551051	358551051	358702645	358899750	359054080
Rv_QcHj5Vxs	2885897702	2887727713	2891772712	2891772712	2893226226	2895497543	2897659038	2902048642	2902048642	2903972023	2905804811	2907420375	2910769617	2910769617	2912564438	2916727919	2916727919	2920327618	2920327618	2921725569	2924349259	2926888525
84GjVhVAULU	53711439	53972788	54384089	54384089	54618604	54878601	55042568	55158916	55253121	55328177	55389173	55613518	56053865	56053865	56228232	56592727	56592727	56840520	56840520	56947720	57305186	57500500
YxvjzpH9vPs	20617489	20708136	20939311	20939311	21018564	21095689	21199608	21247236	21327461	21327461	21466184	21558652	21705159	21705159	21776891	21988855	21988855	22190143	22190143	22275374	22354778	22479856
4m8xhQ75gvM	100289962	100456061	100622959	100772654	100896685	101014950	101134303	101257590	101391395	101521137	101637481	101737498	101826648	101915753	102002804	102196842	102196842	102322693	102322693	102322693	102671555	102772101
y6Pxg27GX9Y	367158301	367424335	367716796	367974800	368199873	368635931	369023789	369478849	369936269	370348565	370815735	371212030	372139622	372139622	372617795	373584908	373584908	374466140	374466140	374959959	375442098	375875372
X84S0j4GPyU	5591465927	5596299485	5610380167	5610380167	5618698641	5627273418	5640032017	5646877918	5652277972	5657837999	5666322672	5676005584	5691422791	5691422791	5697852847	5706630568	5706630568	5714425744	5714425744	5718196057	5723153610	5729140952
VXYMOITklKQ	225491102	226021190	227200386	227200386	227631074	228193869	228818781	229049087	229234570	229234570	229402787	229686429	230131054	230313851	230313851	230616827	230616827	230952060	230952060	231126372	231287955	231415329
WRyCD2AyqP4	3697692867	3699674048	3705204242	3705204242	3707824601	3711583394	3715950242	3717820771	3719851570	3719851570	3722189239	3725001246	3728913868	3728913868	3730914160	3735003549	3735003549	3740078704	3740078704	3742078799	3744184714	3746119791
CzwpjioJIUo	502213415	502372441	502519711	502650815	502753893	502913503	503786848	504130306	504473753	504733439	504909306	505056764	505302301	505302301	505464444	505774806	505774806	506169086	506169086	506309844	506486850	506785361
y2_2IxRCxvM	6335311407	6337954197	6343859619	6343859619	6346359909	6349928530	6352777757	6357573311	6359726833	6359726833	6361913301	6364269263	6368282621	6368282621	6370829873	6375050928	6375050928	6379236624	6379236624	6381081459	6383029051	6385114737
koOuhXmdBdI	1037481075	1038998941	1040958076	1040958076	1041594342	1042636300	1044246287	1045754279	1046340781	1046340781	1047892323	1049118825	1050750996	1050750996	1051360421	1052422115	1052422115	1053326542	1053326542	1053785852	1054252288	1054934809
